Pl 1 hand,Pl 2 hand,Round,Surface,Best of,Final TB?,Year,target
R,R,Q3,Clay,3,A,2026,0
R,R,F,Clay,3,1,2026,0
R,L,R16,Clay,3,1,2026,1
R,R,R128,Clay,3,1,2026,0
R,R,F,Clay,3,1,2026,1
R,R,SF,Clay,3,1,2026,0
R,R,QF,Clay,3,1,2026,1
R,R,QF,Clay,3,1,2026,0
R,R,QF,Clay,3,1,2026,1
R,R,R16,Clay,3,1,2026,1
R,R,R16,Clay,3,1,2026,1
R,R,R32,Clay,3,1,2026,0
R,R,R64,Clay,3,1,2026,1
R,R,R128,Clay,3,1,2026,1
R,R,F,Clay,3,1,2026,1
R,R,SF,Clay,3,1,2026,0
R,R,QF,Clay,3,1,2026,1
R,L,QF,Clay,3,1,2026,1
R,R,QF,Clay,3,1,2026,1
R,R,R16,Clay,3,1,2026,0
R,R,R16,Clay,3,1,2026,1
R,R,F,Clay,3,1,2026,0
R,R,SF,Clay,3,1,2026,0
R,R,SF,Clay,3,1,2026,0
R,R,QF,Clay,3,1,2026,0
R,R,QF,Clay,3,1,2026,0
R,R,R16,Clay,3,1,2026,1
R,R,R16,Clay,3,1,2026,0
R,R,R16,Clay,3,1,2026,0
R,R,R32,Clay,3,1,2026,1
R,R,R32,Clay,3,1,2026,1
R,R,R32,Clay,3,1,2026,1
R,R,R64,Clay,3,1,2026,1
R,R,R32,Hard,3,1,2026,0
L,R,R64,Clay,3,1,2026,1
R,R,R64,Clay,3,1,2026,0
R,R,SF,Clay,3,1,2026,0
L,R,QF,Clay,3,1,2026,0
R,R,F,Hard,3,1,2026,0
R,R,SF,Hard,3,1,2026,1
R,R,R16,Clay,3,1,2026,0
R,R,QF,Hard,3,1,2026,0
R,R,QF,Hard,3,1,2026,1
R,R,R16,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,1
R,R,R64,Hard,3,1,2026,0
R,L,R128,Hard,3,1,2026,0
R,R,R128,Hard,3,1,2026,1
R,R,R128,Hard,3,1,2026,0
R,R,R128,Hard,3,1,2026,0
R,R,F,Hard,3,1,2026,0
R,R,SF,Hard,3,1,2026,1
R,R,SF,Hard,3,1,2026,0
R,R,R16,Clay,3,1,2026,1
R,L,QF,Hard,3,1,2026,1
R,L,QF,Hard,3,1,2026,1
R,R,QF,Hard,3,1,2026,0
R,L,R16,Hard,3,1,2026,0
R,R,R16,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,0
R,R,R16,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,1
R,R,R32,Hard,3,1,2026,0
L,R,R64,Hard,3,1,2026,0
R,L,R32,Hard,3,1,2026,1
R,R,R32,Hard,3,1,2026,0
R,R,R64,Hard,3,1,2026,1
R,R,R64,Hard,3,1,2026,1
R,R,R64,Hard,3,1,2026,1
R,R,R128,Hard,3,1,2026,1
R,L,R128,Hard,3,1,2026,0
R,L,R128,Hard,3,1,2026,1
R,R,SF,Hard,3,1,2026,1
R,R,SF,Hard,3,1,2026,1
R,R,QF,Hard,3,1,2026,0
R,R,R16,Hard,3,1,2026,1
R,R,R16,Hard,3,1,2026,0
L,R,R32,Hard,3,1,2026,1
R,R,R32,Hard,3,1,2026,1
R,L,R32,Hard,3,1,2026,1
R,L,R32,Hard,3,1,2026,1
R,R,F,Hard,3,1,2026,0
L,R,QF,Clay,3,1,2026,0
R,R,QF,Hard,3,1,2026,0
R,R,QF,Hard,3,1,2026,1
R,R,QF,Hard,3,1,2026,1
R,R,R16,Hard,3,1,2026,1
R,R,R16,Hard,3,1,2026,1
L,R,R32,Clay,3,1,2026,0
R,R,R32,Hard,3,1,2026,0
R,R,F,Hard,3,1,2026,1
L,R,SF,Hard,3,1,2026,0
R,R,SF,Hard,3,1,2026,1
R,R,QF,Hard,3,1,2026,0
R,R,QF,Hard,3,1,2026,1
R,R,QF,Hard,3,1,2026,0
R,R,R16,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,1
R,R,R32,Hard,3,1,2026,1
R,R,R32,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,0
L,R,R16,Clay,3,1,2026,1
R,R,R32,Hard,3,1,2026,0
R,L,R32,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,0
L,R,R32,Hard,3,1,2026,1
R,L,R32,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,0
R,R,RR,Hard,3,1,2026,1
R,R,RR,Hard,3,1,2026,0
R,R,RR,Hard,3,1,2026,1
R,R,RR,Hard,3,1,2026,1
R,R,R16,Hard,3,1,2026,0
R,R,R16,Hard,3,1,2026,0
R,R,R32,Hard,3,1,2026,1
R,R,R32,Hard,3,1,2026,0
L,R,R32,Hard,3,1,2026,1
R,L,R32,Hard,3,1,2026,0
R,R,F,Hard,3,A,2026,1
R,R,F,Hard,5,A,2026,0
R,R,SF,Hard,3,A,2026,0
R,R,SF,Hard,5,A,2026,0
R,R,SF,Hard,5,A,2026,0
R,R,QF,Hard,5,A,2026,1
R,L,QF,Hard,5,A,2026,1
R,R,QF,Hard,5,A,2026,1
R,L,QF,Hard,5,A,2026,1
R,R,R16,Hard,5,A,2026,0
R,R,R16,Hard,5,A,2026,1
R,R,R32,Hard,5,A,2026,1
R,L,R16,Hard,5,A,2026,0
R,R,SF,Clay,3,1,2026,1
R,R,R32,Hard,5,A,2026,1
R,R,R32,Hard,5,A,2026,1
R,R,R32,Hard,5,A,2026,0
L,R,R32,Hard,5,A,2026,1
L,R,R32,Hard,5,A,2026,0
R,R,R32,Hard,5,A,2026,1
R,R,R64,Hard,5,A,2026,0
R,R,R64,Hard,5,A,2026,1
R,R,R64,Hard,5,A,2026,0
R,R,R64,Hard,5,A,2026,1
