Pl 1 hand,Pl 2 hand,Round,Surface,Best of,Final TB?,Year,tournament_level,p1_previous_matches,p2_previous_matches,experience_diff,p1_previous_win_rate,p2_previous_win_rate,win_rate_diff,p1_surface_matches,p2_surface_matches,surface_experience_diff,p1_surface_win_rate,p2_surface_win_rate,surface_win_rate_diff,target
R,R,R16,Hard,3,1,2021,ATP 250,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,L,QF,Hard,3,1,2021,ATP 250,1,0,1,1.0,0.5,0.5,1,0,1,1.0,0.5,0.5,1
R,R,F,Hard,3,1,2021,ATP 250,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,R64,Hard,3,1,2021,ATP 250,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,L,RR,Hard,3,1,2021,Team Event,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,RR,Hard,3,1,2021,Team Event,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,L,RR,Hard,3,1,2021,Team Event,1,0,1,1.0,0.5,0.5,1,0,1,1.0,0.5,0.5,1
R,R,R16,Hard,3,1,2021,ATP 250,0,1,-1,0.5,1.0,-0.5,0,1,-1,0.5,1.0,-0.5,0
R,R,RR,Hard,3,1,2021,Team Event,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,QF,Hard,3,1,2021,ATP 250,0,2,-2,0.5,1.0,-0.5,0,2,-2,0.5,1.0,-0.5,1
R,R,SF,Hard,3,1,2021,Team Event,2,0,2,1.0,0.5,0.5,2,0,2,1.0,0.5,0.5,1
R,R,SF,Hard,3,1,2021,Team Event,1,0,1,1.0,0.5,0.5,1,0,1,1.0,0.5,0.5,1
R,R,R128,Hard,5,A,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,R128,Hard,5,A,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,L,R128,Hard,5,A,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,R128,Hard,5,A,2021,Grand Slam,0,3,-3,0.5,0.6666666666666666,-0.16666666666666663,0,3,-3,0.5,0.6666666666666666,-0.16666666666666663,1
L,R,R128,Hard,5,A,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,R128,Hard,5,A,2021,Grand Slam,2,0,2,1.0,0.5,0.5,2,0,2,1.0,0.5,0.5,0
R,R,R128,Hard,5,A,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,R128,Hard,5,1,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,R64,Hard,5,A,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,L,R64,Hard,5,A,2021,Grand Slam,0,1,-1,0.5,1.0,-0.5,0,1,-1,0.5,1.0,-0.5,0
R,R,R64,Hard,5,A,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,R64,Hard,3,1,2021,Grand Slam,1,0,1,1.0,0.5,0.5,1,0,1,1.0,0.5,0.5,1
R,L,R32,Hard,5,A,2021,Grand Slam,3,2,1,1.0,1.0,0.0,3,2,1,1.0,1.0,0.0,1
R,R,R32,Hard,5,A,2021,Grand Slam,1,0,1,0.0,0.5,-0.5,1,0,1,0.0,0.5,-0.5,1
R,R,R32,Hard,5,1,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,R32,Hard,5,1,2021,Grand Slam,1,2,-1,1.0,1.0,0.0,1,2,-1,1.0,1.0,0.0,0
R,R,QF,Hard,5,A,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
L,R,QF,Hard,5,A,2021,Grand Slam,0,1,-1,0.5,1.0,-0.5,0,1,-1,0.5,1.0,-0.5,0
R,R,SF,Hard,3,A,2021,Grand Slam,2,2,0,1.0,1.0,0.0,2,2,0,1.0,1.0,0.0,0
R,R,F,Hard,5,A,2021,Grand Slam,1,3,-2,1.0,1.0,0.0,1,3,-2,1.0,1.0,0.0,1
R,R,R16,Clay,3,1,2021,ATP 250,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,R16,Hard,3,1,2021,ATP 250,3,0,3,0.6666666666666666,0.5,0.16666666666666663,3,0,3,0.6666666666666666,0.5,0.16666666666666663,0
R,R,F,Hard,3,1,2021,ATP 250,0,1,-1,0.5,0.0,0.5,0,1,-1,0.5,0.0,0.5,1
R,R,R32,Hard,3,1,2021,ATP 500,0,1,-1,0.5,0.0,0.5,0,1,-1,0.5,0.0,0.5,1
R,R,R32,Hard,3,1,2021,ATP 500,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,R16,Hard,3,1,2021,ATP 500,0,1,-1,0.5,1.0,-0.5,0,1,-1,0.5,1.0,-0.5,0
R,L,R32,Hard,3,1,2021,ATP 500,4,0,4,0.5,0.5,0.0,4,0,4,0.5,0.5,0.0,1
R,R,R32,Hard,3,1,2021,ATP 500,1,2,-1,0.0,0.5,-0.5,1,2,-1,0.0,0.5,-0.5,0
R,R,R16,Hard,3,1,2021,ATP 500,1,4,-3,1.0,1.0,0.0,1,4,-3,1.0,1.0,0.0,0
R,R,R32,Hard,3,1,2021,ATP 500,2,0,2,0.0,0.5,-0.5,2,0,2,0.0,0.5,-0.5,1
R,R,R16,Hard,3,1,2021,ATP 500,3,5,-2,0.6666666666666666,0.6,0.06666666666666665,3,5,-2,0.6666666666666666,0.6,0.06666666666666665,1
R,R,R16,Hard,3,1,2021,ATP 500,1,1,0,1.0,1.0,0.0,1,1,0,1.0,1.0,0.0,1
R,R,QF,Hard,3,1,2021,ATP 500,0,1,-1,0.5,1.0,-0.5,0,1,-1,0.5,1.0,-0.5,1
R,R,F,Hard,3,1,2021,ATP 500,5,2,3,1.0,1.0,0.0,5,2,3,1.0,1.0,0.0,1
R,R,R16,Hard,3,1,2021,ATP 250,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,SF,Hard,3,1,2021,ATP 250,1,6,-5,0.0,1.0,-1.0,1,6,-5,0.0,1.0,-1.0,1
R,R,R64,Hard,3,1,2021,ATP 500,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
L,R,R32,Hard,3,1,2021,ATP 500,1,1,0,1.0,0.0,1.0,1,1,0,1.0,0.0,1.0,1
R,R,R32,Hard,3,1,2021,ATP 500,6,1,5,0.5,1.0,-0.5,6,1,5,0.5,1.0,-0.5,1
R,R,R16,Hard,3,1,2021,ATP 500,1,7,-6,0.0,0.8571428571428571,-0.8571428571428571,1,7,-6,0.0,0.8571428571428571,-0.8571428571428571,0
R,L,R16,Hard,3,1,2021,ATP 500,7,2,5,0.5714285714285714,1.0,-0.4285714285714286,7,2,5,0.5714285714285714,1.0,-0.4285714285714286,0
R,R,R32,Hard,3,1,2021,ATP 500,0,1,-1,0.5,0.0,0.5,0,1,-1,0.5,0.0,0.5,1
R,R,R32,Hard,3,1,2021,ATP 500,4,1,3,0.75,0.0,0.75,4,1,3,0.75,0.0,0.75,1
R,R,R16,Hard,3,1,2021,ATP 500,5,0,5,0.8,0.5,0.30000000000000004,5,0,5,0.8,0.5,0.30000000000000004,1
R,R,R16,Hard,3,1,2021,ATP 500,1,0,1,0.0,0.5,-0.5,1,0,1,0.0,0.5,-0.5,1
R,R,QF,Hard,3,1,2021,ATP 500,0,2,-2,0.5,0.5,0.0,0,2,-2,0.5,0.5,0.0,1
R,R,F,Hard,3,1,2021,ATP 500,6,1,5,0.8333333333333334,0.0,0.8333333333333334,6,1,5,0.8333333333333334,0.0,0.8333333333333334,0
R,R,SF,Hard,3,1,2021,ATP 500,7,1,6,0.7142857142857143,1.0,-0.2857142857142857,7,1,6,0.7142857142857143,1.0,-0.2857142857142857,1
